C9orf152	NM_001012993	hypothetical protein LOC401546
THAP9	NM_024672	THAP domain containing 9
AP1S1	NM_001283	adaptor-related protein complex 1, sigma 1
ANKRD58	NM_001105576	ankyrin repeat domain 58
TMEM206	NM_018252	transmembrane protein 206
SMAD6	NM_005585	MAD, mothers against decapentaplegic homolog 6
SAV1	NM_021818	WW45 protein
SAT1	NM_002970	spermidine/spermine N1-acetyltransferase
ZNF251	NM_138367	zinc finger protein 251
ADAMTS7	NM_014272	ADAM metallopeptidase with thrombospondin type 1
RPP38	NM_001097590/NM_183005/NM_006414	ribonuclease P/MRP 38kDa subunit
YPEL2	NM_001005404	yippee-like 2
RBMS1	NM_016836/NM_016839/NM_002897	RNA binding motif, single stranded interacting
ZNF445	NM_181489	zinc finger protein 445
NRXN2	NM_138732/NM_138734/NM_015080	neurexin 2 isoform alpha-2 precursor/neurexin 2 isoform beta precursor/neurexin 2 isoform alpha-1 precursor
PGBD4	NM_152595	piggyBac transposable element derived 4
UGT2B28	NM_053039	UDP glucuronosyltransferase 2 family,
WBSCR16	NM_030798	Williams-Beuren syndrome chromosome region 16
NLRC3	NM_178844	NOD3 protein
ASTL	NM_001002036	astacin-like metalloendopeptidase
ST6GALNAC1	NM_018414	GalNAc alpha-2, 6-sialyltransferase I
ZADH2	NM_175907	zinc binding alcohol dehydrogenase domain
MLLT4	NM_005936/NM_001040000/NM_001040001	myeloid/lymphoid or mixed-lineage leukemia
ARL6	NM_032146/NM_177976	ADP-ribosylation factor-like 6
TRMT2A	NM_022727/NM_182984	HpaII tiny fragments locus 9C
MEF2C	NM_002397/NM_001131005	myocyte enhancer factor 2C isoform 1/myocyte enhancer factor 2C isoform 2
SNORD114-13	NR_003206
CBFA2T3	NM_175931/NM_005187	myeloid translocation gene on chromosome 16
AFF3	NM_001025108/NM_002285	AF4/FMR2 family, member 3 isoform 2/AF4/FMR2 family, member 3 isoform 1
COG7	NM_153603	component of oligomeric golgi complex 7
MYB	NM_001130172/NM_001130173/NM_005375	v-myb myeloblastosis viral oncogene homolog
PLXNA3	NM_017514	plexin A3
XRCC2	NM_005431	X-ray repair cross complementing protein 2
MMS19	NM_022362	MMS19 nucleotide excision repair homolog
ST8SIA5	NM_013305	ST8 alpha-N-acetyl-neuraminide
CHPT1	NM_020244	choline phosphotransferase 1
KIAA1712	NM_001040157	KIAA1712
OR6X1	NM_001005188	olfactory receptor, family 6, subfamily X,
ACTR3	NM_005721	ARP3 actin-related protein 3 homolog
UGCG	NM_003358	ceramide glucosyltransferase
OR4P4	NM_001004124	olfactory receptor, family 4, subfamily P,
ZAP70	NM_207519/NM_001079	zeta-chain associated protein kinase 70kDa
ZNF485	NM_145312	zinc finger protein 485
LPP	NM_005578	LIM domain containing preferred translocation
PTPRCAP	NM_005608	protein tyrosine phosphatase, receptor type,
IL12RB1	NM_005535/NM_153701	interleukin 12 receptor, beta 1 isoform 1/interleukin 12 receptor, beta 1 isoform 2
ATRX	NM_138270/NM_000489	transcriptional regulator ATRX isoform 2/transcriptional regulator ATRX isoform 1
CHST8	NM_022467/NM_001127895/NM_001127896	carbohydrate (N-acetylgalactosamine 4-0)
C14orf109	NM_015676/NM_001098621	hypothetical protein LOC26175 isoform 2/hypothetical protein LOC26175 isoform 1
ARV1	NM_022786	ARV1 homolog
SNORD83A	NR_000027
NMB	NM_205858/NM_021077	neuromedin B isoform 2/neuromedin B isoform 1
COX5A	NM_004255	cytochrome c oxidase subunit Va precursor
EIF6	NM_002212/NM_181466/NM_181468	eukaryotic translation initiation factor 6
GSTA1	NM_145740	glutathione S-transferase A1
POLR2L	NM_021128	DNA directed RNA polymerase II polypeptide L
MPPED2	NM_001584	metallophosphoesterase domain containing 2
SEMG1	NM_003007/NM_198139	semenogelin I isoform a preproprotein/semenogelin I isoform b preproprotein
PPIAL4A	NM_178230	peptidylprolyl isomerase A-like 4A
CHRDL1	NM_145234	chordin-like 1
TRAF3IP2	NM_147200/NM_147686	TRAF3 interacting protein 2 isoform 1/TRAF3 interacting protein 2 isoform 2
WNK2	NM_006648	WNK lysine deficient protein kinase 2
LILRA4	NM_012276	leukocyte immunoglobulin-like receptor subfamily
LAMA2	NM_001079823/NM_000426	laminin alpha 2 subunit isoform b precursor/laminin alpha 2 subunit isoform a precursor
PXT1	NM_152990	peroxisomal, testis specific 1
FOXD4L3	NM_199135	forkhead box D4-like 3
RLBP1	NM_000326	retinaldehyde binding protein 1
CD300C	NM_006678	CD300C antigen
SLTM	NM_001013843/NM_024755	modulator of estrogen induced transcription
APOBEC3D	NM_152426	apolipoprotein B mRNA editing enzyme, catalytic
FLJ10404	NM_019057/NR_024019	hypothetical protein LOC54540
RENBP	NM_002910	renin binding protein
NID1	NM_002508	nidogen 1 precursor
ATXN7L1	NM_152749/NM_020725/NM_138495	ataxin 7-like 1 isoform 2/ataxin 7-like 1 isoform 1/ataxin 7-like 1 isoform 3
TUBGCP3	NM_006322	tubulin, gamma complex associated protein 3
ITIH5	NM_001001851/NM_032817/NM_030569	inter-alpha trypsin inhibitor heavy chain
CCDC110	NM_152775	coiled-coil domain containing 110
NBEAL1	NM_001099273/NM_198945	neurobeachin-like 1 isoform 1/neurobeachin-like 1 isoform 2
C8A	NM_000562	complement component 8, alpha polypeptide
FAM115C	NM_173678/NM_001130026/NM_001130025	hypothetical protein LOC285966 A/hypothetical protein LOC285966 B
HOXC13	NM_017410	homeobox C13
SNORD113-8	NR_003236
OR10G9	NM_001001953	olfactory receptor, family 10, subfamily G,
TFDP2	NM_006286	transcription factor Dp-2 (E2F dimerization
POLI	NM_007195	polymerase (DNA directed) iota
HCP5	NM_006674	HLA complex P5
CPSF4L	NM_001129885	cleavage and polyadenylation specific factor
UCN	NM_003353	urocortin preproprotein
ZNF764	NM_033410	zinc finger protein 764
C8orf45	NM_173518/NM_001136160/NM_001136161	minichromosome maintenance complex
FHL3	NM_004468	four and a half LIM domains 3
SPATA5L1	NM_024063	spermatogenesis associated 5-like 1
MMRN2	NM_024756	multimerin 2
NMS	NM_001011717	neuromedin S
NDST1	NM_001543	N-deacetylase/N-sulfotransferase (heparan
COL20A1	NM_020882	collagen, type XX, alpha 1
ZNF248	NM_021045	zinc finger protein 248
PELP1	NM_014389	proline, glutamic acid and leucine rich protein
MBL2	NM_000242	soluble mannose-binding lectin precursor
RNF41	NM_005785/NM_194358/NM_194359	ring finger protein 41 isoform 1/ring finger protein 41 isoform 2
C5orf24	NM_152409/NM_001135586	hypothetical protein LOC134553
THOC5	NM_001002879/NM_003678/NM_001002877/NM_001002878	THO complex 5
SERINC3	NM_198941/NM_006811	tumor differentially expressed protein 1
LOC120126	NM_001101321	hypothetical protein LOC120126
HIST1H2AA	NM_170745	histone cluster 1, H2aa
CDCP2	NM_201546	CUB domain containing protein 2
C11orf75	NM_020179	hypothetical protein LOC56935
FKBP7	NM_181342/NM_001135212	FK506 binding protein 7 isoform a precursor/FK506 binding protein 7 isoform b precursor
STRADB	NM_018571	STE20-related kinase adaptor beta
DDOST	NM_005216	dolichyl-diphosphooligosaccharide-protein
GPNMB	NM_001005340/NM_002510	glycoprotein (transmembrane) nmb isoform a/glycoprotein (transmembrane) nmb isoform b
TTF2	NM_003594	transcription termination factor, RNA polymerase
KCNT1	NM_020822	potassium channel, subfamily T, member 1
SLC39A14	NM_015359/NM_001128431/NM_001135153/NM_001135154	solute carrier family 39 (zinc transporter),
NGRN	NM_001033088/NM_016645	neugrin, neurite outgrowth associated isoform 2/neugrin, neurite outgrowth associated isoform 1
FAM164A	NM_016010	hypothetical protein LOC51101
GPR137B	NM_003272	G protein-coupled receptor 137B
MECP2	NM_004992/NM_001110792	methyl CpG binding protein 2 isoform 1/methyl CpG binding protein 2 isoform 2
PSMA1	NM_148976/NM_002786	proteasome alpha 1 subunit isoform 1/proteasome alpha 1 subunit isoform 2
BCO2	NM_031938/NM_001037290	beta-carotene dioxygenase 2 isoform a/beta-carotene dioxygenase 2 isoform b
C16orf73	NM_152764	hypothetical protein LOC254528
TMEM60	NM_032936	transmembrane protein 60
CSN3	NM_005212	casein kappa
NOS1	NM_000620	nitric oxide synthase 1 (neuronal)
RAB7L1	NM_003929/NM_001135662/NM_001135663/NM_001135664	RAB7, member RAS oncogene family-like 1 isoform
YBX2	NM_015982	Y box binding protein 2
HLA-H	NR_001434
SNORA5A	NR_002919
FUBP3	NM_003934	far upstream element (FUSE) binding protein 3
ABCG1	NM_016818/NM_207627/NM_207174/NM_207628/NM_207629/NM_004915	ATP-binding cassette sub-family G member 1
ACACA	NM_198834/NM_198838/NM_198839/NM_198836/NM_198837	acetyl-Coenzyme A carboxylase alpha isoform 1/acetyl-Coenzyme A carboxylase alpha isoform 4/acetyl-Coenzyme A carboxylase alpha isoform 2/acetyl-Coenzyme A carboxylase alpha isoform 3
ARL11	NM_138450	ADP-ribosylation factor-like 11
ODF1	NM_024410	outer dense fiber of sperm tails 1
ATOH1	NM_005172	atonal homolog 1
CREB3L3	NM_032607	cAMP responsive element binding protein 3-like
TMEM127	NM_017849	transmembrane protein 127
DSCAML1	NM_020693	Down syndrome cell adhesion molecule like 1
LYPLA1	NM_006330	lysophospholipase I
PLN	NM_002667	phospholamban
PRDM9	NM_020227	PR domain containing 9
PLUNC	NM_130852/NM_016583	palate, lung and nasal epithelium associated
INTU	NM_015693	PDZ domain containing 6
HISPPD1	NM_015216	Histidine acid phosphatase domain containing 1
LNPEP	NM_005575/NM_175920	leucyl/cystinyl aminopeptidase isoform 1/leucyl/cystinyl aminopeptidase isoform 2
YARS2	NM_001040436	tyrosyl-tRNA synthetase 2, mitochondrial
APCDD1L	NM_153360	adenomatosis polyposis coli down-regulated
ZCCHC4	NM_024936	zinc finger, CCHC domain containing 4
FBXO22	NM_012170/NM_147188	F-box only protein 22 isoform b/F-box only protein 22 isoform a
TTLL13	NM_001029964	tubulin tyrosine ligase-like family, member 13
PTGDR	NM_000953	prostaglandin D2 receptor
ZNF669	NM_024804	zinc finger protein 669
GJB6	NM_006783/NM_001110220/NM_001110221/NM_001110219	gap junction protein, beta 6
KIAA0409	NM_015324	hypothetical protein LOC23378
DDX27	NM_017895	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27
CCDC39	NM_181426	coiled-coil domain containing 39
ASB8	NM_024095	ankyrin repeat and SOCS box-containing 8
OR10J5	NM_001004469	olfactory receptor, family 10, subfamily J,
MEPE	NM_020203	matrix, extracellular phosphoglycoprotein with
PLP2	NM_002668	proteolipid protein 2 (colonic
KRT222P	NM_152349	truncated type I keratin KA21
COQ7	NM_016138	COQ7 protein
C1orf101	NM_173807/NM_001130957	hypothetical protein LOC257044 isoform 2/hypothetical protein LOC257044 isoform 1
RERG	NM_032918	RAS-like, estrogen-regulated, growth inhibitor
CHMP5	NM_016410	chromatin modifying protein 5
LOC400831	NM_001009612	hypothetical protein LOC400831
OR56A1	NM_001001917	olfactory receptor, family 56, subfamily A,
THAP11	NM_020457	THAP domain containing 11
ZNF43	NM_003423	zinc finger protein 43
KRT13	NM_002274/NM_153490	keratin 13 isoform b/keratin 13 isoform a
MRPL19	NM_014763	mitochondrial ribosomal protein L19
ZRANB3	NM_032143	zinc finger, RAN-binding domain containing 3
RBBP9	NM_006606	retinoblastoma binding protein 9
SPATA17	NM_138796	spermatogenesis associated 17
BXDC5	NM_025065	RNA processing factor 1
PAFAH1B1	NM_000430	platelet-activating factor acetylhydrolase,
MAGEE1	NM_020932	melanoma antigen family E, 1
OSTF1	NM_012383	osteoclast stimulating factor 1
KIAA0323	NM_015299	hypothetical protein LOC23351
TXNDC13	NM_021156	thioredoxin domain containing 13
CNTN4	NM_175613/NM_175612/NM_175607	contactin 4 isoform c precursor/contactin 4 isoform b precursor/contactin 4 isoform a precursor
LCE1B	NM_178349	late cornified envelope 1B
ZNF154	NM_001085384	zinc finger protein 154
C3orf64	NM_173654	AER61 glycosyltransferase
PON1	NM_000446	paraoxonase 1 precursor
FLJ10357	NM_018071	hypothetical protein LOC55701
SYT5	NM_003180	synaptotagmin V
ATP4A	NM_000704	hydrogen/potassium-exchanging ATPase 4A
SNAR-D	NR_024243
GNPDA1	NM_005471	glucosamine-6-phosphate deaminase 1
MGAT1	NM_002406/NM_001114617/NM_001114618/NM_001114619/NM_001114620	mannosyl (alpha-1,3-)-glycoprotein
SLC35B2	NM_178148	solute carrier family 35, member B2
CHEK1	NM_001114121/NM_001114122/NM_001274	CHK1 checkpoint homolog
MIER3	NM_152622	mesoderm induction early response 1, family
LOC374443	NR_002814
ZNF8	NM_021089	zinc finger protein 8
TXNDC1	NM_030755	thioredoxin domain containing 1
CKB	NM_001823	brain creatine kinase
PRY2	NM_001002758	PTPN13-like, Y-linked 2
RTN3	NM_201429/NM_006054/NM_201430/NM_201428	reticulon 3 isoform c/reticulon 3 isoform a/reticulon 3 isoform d/reticulon 3 isoform b
C6orf191	NM_001010876	hypothetical protein LOC253582
INSC	NM_001042536/NM_001031853	inscuteable isoform b/inscuteable isoform a
FZD2	NM_001466	frizzled 2
PSMB6	NM_002798	proteasome beta 6 subunit
MRAP2	NM_138409	melanocortin 2 receptor accessory protein 2
PHC3	NM_024947	polyhomeotic like 3
PCDHB8	NM_019120	protocadherin beta 8 precursor
PPP1R8	NM_014110/NM_002713/NM_138558	protein phosphatase 1 regulatory inhibitor
NOVA2	NM_002516	neuro-oncological ventral antigen 2
TNFRSF11B	NM_002546	osteoprotegerin precursor
GOLPH3	NM_022130	golgi phosphoprotein 3
UBLCP1	NM_145049	ubiquitin-like domain containing CTD phosphatase
TTLL1	NM_012263/NM_001008572	tubulin tyrosine ligase-like family, member 1
OPN4	NM_033282/NM_001030015	opsin 4 isoform 1/opsin 4 isoform 2
LOC646999	NR_024390
SNORD115-20	NR_003312
OR13G1	NM_001005487	olfactory receptor, family 13, subfamily G,
ZPBP2	NM_199321/NM_198844	zona pellucida binding protein 2 isoform 2/zona pellucida binding protein 2 isoform 1
HSD17B11	NM_016245	dehydrogenase/reductase (SDR family) member 8
KIF18B	NM_001080443	kinesin family member 18B
C9orf50	NM_199350	hypothetical protein LOC375759
HDGFL1	NM_138574	hepatoma derived growth factor-like 1
DHDDS	NM_205861/NM_024887	dehydrodolichyl diphosphate synthase isoform b/dehydrodolichyl diphosphate synthase isoform a
CTSW	NM_001335	cathepsin W preproprotein
NEFM	NM_005382/NM_001105541	neurofilament, medium polypeptide 150kDa isoform
TNNC2	NM_003279	fast skeletal muscle troponin C
DEM1	NM_022774	defects in morphology 1 homolog
MRPL28	NM_006428	mitochondrial ribosomal protein L28
SYN1	NM_133499/NM_006950	synapsin I isoform Ib/synapsin I isoform Ia
PIGV	NM_017837	phosphatidylinositol glycan class V
SNORA63	NR_002586
ZIM2	NM_015363	zinc finger, imprinted 2
TTTY3B	NR_002176
APBB1	NM_001164/NM_145689	amyloid beta A4 precursor protein-binding,
SND1	NM_014390	staphylococcal nuclease domain containing 1
C1orf123	NM_017887	hypothetical protein LOC54987
B4GALT1	NM_001497	UDP-Gal:betaGlcNAc beta 1,4-
CHD3	NM_005852/NM_001005273/NM_001005271	chromodomain helicase DNA binding protein 3
RNASE2	NM_002934	ribonuclease, RNase A family, 2 (liver,
BHLHB8	NM_177455	basic helix-loop-helix domain containing, class
BCAP31	NM_005745	B-cell receptor-associated protein 31
SLC25A44	NM_014655/NM_001135672	solute carrier family 25, member 44 isoform 1/solute carrier family 25, member 44 isoform 2
CLDN22	NM_001111319	claudin 22
CHD6	NM_032221	chromodomain helicase DNA binding protein 6
SELS	NM_018445/NM_203472	selenoprotein S
LOC541471	NR_015395/NR_024373
FAT2	NM_001447	FAT tumor suppressor 2 precursor
OR4C16	NM_001004701	olfactory receptor, family 4, subfamily C,
ZNF81	NM_007137	zinc finger protein 81
LOC345630	NR_024356
LRRC4	NM_022143	leucine rich repeat containing 4
OR52I1	NM_001005169	olfactory receptor, family 52, subfamily I,
N4BP2	NM_018177	Nedd4 binding protein 2
CS	NM_004077/NM_198324	citrate synthase precursor/citrate synthase precursor, isoform b
IGFBP7	NM_001553	insulin-like growth factor binding protein 7
NDNL2	NM_138704	necdin-like 2
ZNF318	NM_014345	zinc finger protein 318
ZNF609	NM_015042	zinc finger protein 609
SNORD115-43	NR_003358
SIRT4	NM_012240	sirtuin 4
EXOSC10	NM_002685/NM_001001998	exosome component 10 isoform 2/exosome component 10 isoform 1
ECE2	NM_014693/NM_001037324/NM_032331/NM_001100120/NM_001100121	endothelin converting enzyme 2 isoform A/endothelin converting enzyme 2 isoform B/endothelin converting enzyme 2 isoform C/endothelin converting enzyme 2 isoform D/endothelin converting enzyme 2 isoform E
OVGP1	NM_002557	oviductal glycoprotein 1 precursor
GTPBP3	NM_032620/NM_133644/NM_001128855	GTP binding protein 3 (mitochondrial) isoform V/GTP binding protein 3 (mitochondrial) isoform
PACS2	NM_001100913/NM_015197	phosphofurin acidic cluster sorting protein 2
C19orf36	NM_001031735/NM_001039846	hypothetical protein LOC113177 isoform 1/hypothetical protein LOC113177 isoform 3
ARL4C	NM_005737	ADP-ribosylation factor-like 4C
UBQLNL	NM_145053	ubiquilin-like
ATG4B	NM_178326/NM_013325	APG4 autophagy 4 homolog B isoform b/APG4 autophagy 4 homolog B isoform a
RHOXF2B	NM_001099685	Rhox homeobox family, member 2B
PLEKHG2	NM_022835	common-site lymphoma/leukemia guanine nucleotide
GAGE13	NM_001098412	G antigen 13
LOC401335	NM_001123065	hypothetical protein LOC401335
AQP4	NM_001650/NM_004028	aquaporin 4 isoform a/aquaporin 4 isoform b
GALR1	NM_001480	galanin receptor 1
C16orf81	NR_024347
DCUN1D3	NM_173475	DCN1, defective in cullin neddylation 1, domain
PAN2	NM_001127460/NM_014871	PAN2 polyA specific ribonuclease subunit homolog
CCRN4L	NM_012118	CCR4 carbon catabolite repression 4-like
OR8A1	NM_001005194	olfactory receptor, family 8, subfamily A,
CBR4	NM_032783	carbonic reductase 4
KIFC1	NM_002263	kinesin family member C1
SLC7A14	NM_020949	solute carrier family 7 (cationic amino acid
LOC100134257	NM_001135241	hypothetical protein LOC100134257
LHX5	NM_022363	LIM homeobox protein 5
F8A3	NM_001007524	coagulation factor VIII-associated (intronic
TRPC7	NM_020389	transient receptor potential cation channel,
LPXN	NM_004811	leupaxin
SERPINA1	NM_001002235/NM_000295/NM_001002236/NM_001127702/NM_001127700/NM_001127705/NM_001127701/NM_001127707/NM_001127706/NM_001127704/NM_001127703	serine proteinase inhibitor, clade A, member 1
RPS13	NM_001017	ribosomal protein S13
BPIL3	NM_174897	bactericidal/permeability-increasing
PRKAA1	NM_006251/NM_206907	protein kinase, AMP-activated, alpha 1 catalytic
FADS2	NM_004265	fatty acid desaturase 2
ENAH	NM_018212/NM_001008493	enabled homolog isoform b/enabled homolog isoform a
LIPH	NM_139248	lipase, member H precursor
C3orf33	NM_173657	hypothetical protein LOC285315
FCGR1B	NM_001004340/NM_001017986	Fc fragment of IgG, high affinity Ib, receptor
RCC2	NM_018715/NM_001136204	regulator of chromosome condensation 2
CYP4F3	NM_000896	cytochrome P450, family 4, subfamily F,
ALDH1A2	NM_170696/NM_170697/NM_003888	aldehyde dehydrogenase 1A2 isoform 2/aldehyde dehydrogenase 1A2 isoform 3/aldehyde dehydrogenase 1A2 isoform 1
RNF103	NM_005667	ring finger protein 103
AHCY	NM_000687	S-adenosylhomocysteine hydrolase
ALG12	NM_024105	asparagine-linked glycosylation 12
CCL17	NM_002987	small inducible cytokine A17 precursor
BZRPL1	NM_001010873	benzodiazapine receptor (peripheral)-like 1
ZNF543	NM_213598	zinc finger protein 543
ESRRG	NM_206595/NM_206594/NM_001438/NM_001134285/NR_024099	estrogen-related receptor gamma isoform 2/estrogen-related receptor gamma isoform 1
CNGA1	NM_000087	cyclic nucleotide gated channel alpha 1
RDH5	NM_002905	retinol dehydrogenase 5 (11-cis and 9-cis)
OTX1	NM_014562	orthodenticle homeobox 1
PTGFR	NM_000959/NM_001039585	prostaglandin F receptor isoform a precursor/prostaglandin F receptor isoform b precursor
CDR2	NM_001802	cerebellar degeneration-related protein 2
NLGN2	NM_020795	neuroligin 2
SELE	NM_000450	selectin E precursor
EXOSC9	NM_005033/NM_001034194	exosome component 9 isoform 2/exosome component 9 isoform 1
ZNF566	NM_032838	zinc finger protein 566
KLRC2	NM_002260	killer cell lectin-like receptor subfamily C,
KIAA0196	NM_014846	strumpellin
GPR12	NM_005288	G protein-coupled receptor 12
FAR2	NM_018099	fatty acyl CoA reductase 2
PDRG1	NM_030815	p53 and DNA damage-regulated protein
PCDHA2	NM_018905/NM_031495	protocadherin alpha 2 isoform 1 precursor/protocadherin alpha 2 isoform 2 precursor
SSR3	NM_007107	signal sequence receptor gamma subunit
MSI1	NM_002442	musashi 1
CST9	NM_001008693	cystatin 9
CC2D1A	NM_017721	coiled-coil and C2 domain containing 1A
PLAGL1	NM_001080953/NM_001080955/NM_001080954/NM_002656/NM_001080951/NM_001080956/NM_006718/NM_001080952	pleiomorphic adenoma gene-like 1 isoform 2/pleiomorphic adenoma gene-like 1 isoform 1
PCDHA11	NM_018902/NM_031861	protocadherin alpha 11 isoform 1 precursor/protocadherin alpha 11 isoform 2 precursor
SNORA13	NR_002922
LOC100131897	NM_001129891	hypothetical protein LOC100131897
ZNF778	NM_182531	zinc finger protein 778
RNF2	NM_007212	ring finger protein 2
KLF6	NM_001300	Kruppel-like factor 6
NR5A1	NM_004959	nuclear receptor subfamily 5, group A, member 1
THBD	NM_000361	thrombomodulin precursor
ABCD2	NM_005164	ATP-binding cassette, sub-family D, member 2
DNAJC7	NM_003315	DnaJ (Hsp40) homolog, subfamily C, member 7
TM2D3	NM_025141/NM_078474	TM2 domain containing 3 isoform b/TM2 domain containing 3 isoform a
CLEC4C	NM_203503/NM_130441	C-type lectin domain family 4, member C isoform
EGO	NR_004428
DCD	NM_053283	dermcidin preproprotein
FAAH	NM_001441	fatty acid amide hydrolase
POLA1	NM_016937	polymerase (DNA-directed), alpha
TM7SF2	NM_003273	transmembrane 7 superfamily member 2
FLOT2	NM_004475	flotillin 2
MAP4K1	NM_001042600/NM_007181	mitogen-activated protein kinase kinase kinase
OR5M1	NM_001004740	olfactory receptor, family 5, subfamily M,
SRP68	NM_014230	signal recognition particle 68kDa
ARPC5	NM_005717	actin related protein 2/3 complex subunit 5
ZDHHC4	NM_001134388/NM_001134387/NM_001134389/NM_018106	zinc finger, DHHC-type containing 4
LOC126075	NM_001080503	coiled-coil domain-containing-like
HECW2	NM_020760	HECT, C2 and WW domain containing E3 ubiquitin
PDE9A	NM_001001583/NM_002606/NM_001001571/NM_001001585/NM_001001579/NM_001001580/NM_001001581/NM_001001572/NM_001001573/NM_001001577/NM_001001567/NM_001001574/NM_001001582/NM_001001570/NM_001001568/NM_001001584/NM_001001575/NM_001001576/NM_001001578/NM_001001569	phosphodiesterase 9A isoform o/phosphodiesterase 9A isoform a/phosphodiesterase 9A isoform f/phosphodiesterase 9A isoform g/phosphodiesterase 9A isoform j/phosphodiesterase 9A isoform m/phosphodiesterase 9A isoform k/phosphodiesterase 9A isoform b/phosphodiesterase 9A isoform h/phosphodiesterase 9A isoform n/phosphodiesterase 9A isoform e/phosphodiesterase 9A isoform c/phosphodiesterase 9A isoform i/phosphodiesterase 9A isoform l/phosphodiesterase 9A isoform d
ANKRD42	NM_182603	ankyrin repeat domain 42
ABCA8	NM_007168	ATP-binding cassette, sub-family A member 8
NDUFS2	NM_004550	NADH dehydrogenase (ubiquinone) Fe-S protein 2
UBR5	NM_015902	ubiquitin protein ligase E3 component n-recognin
BTBD16	NM_144587	BTB (POZ) domain containing 16
ZNF20	NM_021143	zinc finger protein 20
METTL10	NM_212554	methyltransferase like 10
KCNQ1OT1	NR_002728
WDR17	NM_181265/NM_170710	WD repeat domain 17 isoform 2/WD repeat domain 17 isoform 1
C15orf33	NM_152647	hypothetical protein LOC196951
CAMKK1	NM_172207/NM_172206/NM_032294	calcium/calmodulin-dependent protein kinase 1
RNF113A	NM_006978	ring finger protein 113A
NHP2	NM_001034833/NM_017838	nucleolar protein family A, member 2
CLCN2	NM_004366	chloride channel 2
ANXA6	NM_001155/NM_004033	annexin VI isoform 1/annexin VI isoform 2
HIST2H2AA4	NM_001040874	histone cluster 2, H2aa4
EMID1	NM_133455	EMI domain containing 1
DPM3	NM_018973/NM_153741	dolichyl-phosphate mannosyltransferase
ELA1	NM_001971	elastase 1, pancreatic
SLC25A13	NM_014251	solute carrier family 25, member 13 (citrin)
SMPD1	NM_000543/NM_001007593	sphingomyelin phosphodiesterase 1, acid
KRT24	NM_019016	keratin 24
COL6A2	NM_058175/NM_058174/NM_001849	alpha 2 type VI collagen isoform 2C2a precursor/alpha 2 type VI collagen isoform 2C2 precursor
TH	NM_000360/NM_199292/NM_199293	tyrosine hydroxylase isoform b/tyrosine hydroxylase isoform a/tyrosine hydroxylase isoform c
TMEM132C	NM_001136103	transmembrane protein 132C
GPR126	NM_001032395/NM_020455/NM_001032394/NM_198569	G protein-coupled receptor 126 beta 2/G protein-coupled receptor 126 alpha 1/G protein-coupled receptor 126 alpha 2/G protein-coupled receptor 126 beta 1
ANKS1B	NM_020140/NM_152788/NM_181670	cajalin 2 isoform c/cajalin 2 isoform a/cajalin 2 isoform b
ZC3H12A	NM_025079	zinc finger CCCH-type containing 12A
TMEM47	NM_031442	transmembrane protein 47
C1orf88	NM_181643	hypothetical protein LOC128344
C2orf51	NM_152670	chromosome 2 open reading frame 51
CNTF	NM_000614	ciliary neurotrophic factor
SDC4P	NR_001580
HSF2BP	NM_007031	heat shock transcription factor 2 binding
AKAP10	NM_007202	A-kinase anchor protein 10 precursor
RPAP3	NM_024604	RNA polymerase II associated protein 3
KLHDC8B	NM_173546	kelch domain containing 8B
STOM	NM_198194/NM_004099	stomatin isoform b/stomatin isoform a
FMC1	NM_197964	formation of mitochondrial complexes 1 homolog
MUPCDH	NM_021924/NM_031264	mucin and cadherin-like isoform 1/mucin and cadherin-like isoform 3
C10orf72	NM_144984/NM_001031746	hypothetical protein LOC196740 isoform 2/hypothetical protein LOC196740 isoform 1
PLEKHA3	NM_019091	pleckstrin homology domain containing, family A
TCP11L1	NM_018393	t-complex 11 (mouse) like 1
CWF19L1	NM_018294	CWF19-like 1, cell cycle control
SPEF1	NM_015417	calponin-homology and microtubule-associated
DCDC2B	NM_001099434	doublecortin domain containing 2B
BOLA2	NM_001031827	BolA-like protein 2
YSK4	NM_025052/NM_001018046	Yeast Sps1/Ste20-related kinase 4 isoform 1/Yeast Sps1/Ste20-related kinase 4 isoform 2
ELN	NM_000501/NM_001081753/NM_001081755/NM_001081754/NM_001081752	elastin isoform a precursor/elastin isoform c precursor/elastin isoform e precursor/elastin isoform d precursor/elastin isoform b precursor
SAMD8	NM_144660	sterile alpha motif domain containing 8
MPI	NM_002435	mannose-6- phosphate isomerase
MEPCE	NM_019606	bin3, bicoid-interacting 3
LNP1	NM_001085451	leukemia NUP98 fusion partner 1
ABCC3	NM_003786	ATP-binding cassette, sub-family C, member 3
KCNK17	NM_031460/NM_001135111	potassium channel, subfamily K, member 17
RRAGA	NM_006570	Ras-related GTP binding A
HLA-DMB	NM_002118	major histocompatibility complex, class II, DM
ANGEL1	NM_015305	angel homolog 1
ELA3B	NM_007352	elastase 3B preproprotein
CPN1	NM_001308	carboxypeptidase N, polypeptide 1 precursor
HLA-A	NM_002116	major histocompatibility complex, class I, A
OR9G4	NM_001005284	olfactory receptor, family 9, subfamily G,
EDNRB	NM_003991/NM_000115/NM_001122659	endothelin receptor type B isoform 2 precursor/endothelin receptor type B isoform 1 precursor
SCD	NM_005063	stearoyl-CoA desaturase
FAM167A	NM_053279	hypothetical protein LOC83648
