NM_000367	TPMT	thiopurine S-methyltransferase
NM_153204	C21orf90	hypothetical protein LOC114043
NM_152445	C14orf44	hypothetical protein LOC145483
NM_006572	GNA13	guanine nucleotide binding protein (G protein),
NM_020361	CPA6	carboxypeptidase B precursor
NM_153028	ZNF75A	zinc finger protein 75a
NM_001001414	LOC342897	similar to F-box only protein 2
NM_152467	KLHL10	kelch-like 10
NM_152486	SAMD11	sterile alpha motif domain containing 11
NM_153615	Rgr	Ral-GDS related protein Rgr
NM_152487	FLJ31842	hypothetical protein LOC148534
NM_153614	DNAJB13	testis spermatogenesis apoptosis-related protein
NM_153613	LOC254531	PLSC domain containing protein
NM_152494	DCST1	hypothetical protein LOC149095
NM_152495	CNIH3	cornichon homolog 3
NM_152496	MANEAL	hypothetical protein LOC149175
NM_153685	DKFZp547D2210	hypothetical protein LOC196500
NM_152499	MGC45441	hypothetical protein LOC149473
NM_153608	ZNF114	zinc finger protein 114
NM_153607	LOC153222	hypothetical protein LOC153222
NM_152505	C21orf13	hypothetical protein LOC150082
NM_153606	FAM71A	hypothetical protein LOC149647
NM_152507	C21orf128	hypothetical protein LOC150147
NM_153603	COG7	component of oligomeric golgi complex 7
NM_152510	HORMAD2	HORMA domain containing 2
NM_152517	FLJ30990	hypothetical protein LOC150737
NM_152522	ARL6IP6	ADP-ribosylation-like factor 6 interacting
NM_152523	FLJ40432	hypothetical protein LOC151195
NM_006360	hfl-B5	B5 receptor
NM_152792	FLJ25084	hypothetical protein LOC151516
NM_152528	WDSUB1	WD repeat, SAM and U-box domain containing 1
NM_006372	SYNCRIP	synaptotagmin binding, cytoplasmic RNA
NM_153027	FLJ31659	hypothetical protein LOC152756
NM_152544	FLJ35725	hypothetical protein LOC152992
NM_152546	SRFBP1	serum response factor binding protein 1
NM_152548	FLJ25333	hypothetical protein LOC153643
NM_152553	IBRDC1	IBR domain containing 1
NM_153033	KCTD7	potassium channel tetramerisation domain
NM_152558	IQCE	IQ motif containing E
NM_152563	FLJ10661	hypothetical protein LOC55199
NM_153015	FLJ30668	hypothetical protein LOC157753
NM_152570	LRRN6C	leucine rich repeat neuronal 6C
NM_152574	C9orf52	hypothetical protein LOC158219
NM_152583	ARMCX4	hypothetical protein LOC158947
NM_152585	RBMY1F	RNA binding motif protein, Y-linked, family 1,
NM_152588	DKFZp762A217	hypothetical protein LOC160335
NM_152589	FLJ35821	hypothetical protein LOC160419
NM_152590	FLJ36004	hypothetical protein FLJ36004
NM_152591	FLJ35843	hypothetical protein LOC160762
NM_152594	SPRED1	sprouty-related protein 1 with EVH-1 domain
NM_152596	MGC33637	hypothetical protein LOC161829
NM_152598	FLJ35757	hypothetical protein LOC162333
NM_152602	ZNF433	zinc finger protein 433
NM_152607	FLJ40201	hypothetical protein LOC163747
NM_152609	C1orf71	hypothetical protein LOC163882
NM_152610	C1orf65	hypothetical protein LOC164127
NM_152611	C20orf75	hypothetical protein LOC164312
NM_152614	MGC35154	hypothetical protein LOC165100
NM_152615	PARP15	hypothetical protein LOC165631
NM_152619	DCAMKL2	doublecortin and CaM kinase-like 2
NM_152623	FLJ37927	hypothetical protein LOC166979
NM_152625	ZNF366	zinc finger protein 366
NM_152630	FAM46D	hypothetical protein LOC169966
NM_152631	FAM47B	hypothetical protein LOC170062
NM_152632	CXorf22	hypothetical protein LOC170063
NM_152636	METT5D1	methyltransferase 5 domain containing 1
NM_152637	MGC17301	hypothetical protein LOC196410
NM_152649	MLKL	mixed lineage kinase domain-like
NM_152654	DAND5	dante
NM_152660	MGC34648	hypothetical protein LOC199870
NM_152666	PLD5	hypothetical protein LOC200150
NM_152667	HDHD4	haloacid dehalogenase-like hydrolase domain
NM_152670	FLJ25369	hypothetical protein LOC200523
NM_152676	FBXO15	F-box protein 15
NM_152678	FLJ34969	hypothetical protein LOC201627
NM_152679	SLC10A4	solute carrier family 10 (sodium/bile acid
NM_152680	FLJ32028	hypothetical protein LOC201799
NM_152681	FLJ38482	hypothetical protein LOC201931
NM_152682	MGC10198	hypothetical protein LOC201965
NM_152683	FLJ33167	hypothetical protein LOC201973
NM_152686	DNAJC18	DnaJ (Hsp40) homolog, subfamily C, member 18
NM_018314	UEV3	ubiquitin-conjugating enzyme E2-like
NM_152697	MGC34032	hypothetical protein LOC204962
NM_152705	MGC9850	hypothetical protein MGC9850
NM_153498	CAMK1D	calcium/calmodulin-dependent protein kinase ID
NM_022094	CIDEC	cell death-inducing DFFA-like effector c
NM_007267	EVER1	EVIN1
NM_152713	ITM1	integral membrane protein 1
NM_152716	FLJ36874	hypothetical protein FLJ36874
NM_020423	SCYL3	SCY1-like 3 isoform 1
NM_152717	MGC35295	hypothetical protein LOC219995
NM_152718	FLJ32009	hypothetical protein LOC220001
NM_024306	FA2H	fatty acid 2-hydroxylase
NM_152719	NURIT	testis-specific leucine zipper protein nurit
NM_152723	FLJ38159	hypothetical protein LOC220388
NM_152726	EFHA1	EF hand domain family, member A1
NM_153023	SPATA13	spermatogenesis associated 13
NM_153487	MDGA1	MAM domain containing
NM_153036	C6orf78	hypothetical protein LOC221301
NM_152731	C6orf65	hypothetical protein LOC221336
NM_152736	ZNF187	zinc finger protein 187
NM_152737	RNF182	hypothetical protein LOC221687
NM_152738	MGC40222	hypothetical protein LOC221718
NM_152742	GPC2	glypican 2
NM_152743	C7orf27	hypothetical protein LOC221927
NM_152745	NXPH1	neurexophilin 1
NM_015636	EIF2B4	eukaryotic translation initiation factor 2B,
NM_152793	Ells1	hypothetical protein LOC222166
NM_152749	ATXN7L4	ataxin 7-like 4
NM_152755	MGC40499	hypothetical protein LOC245812
NM_152763	C1orf62	hypothetical protein LOC254268
NM_152765	MGC33510	hypothetical protein LOC254778
NM_152770	MGC35043	hypothetical protein LOC255119
NM_152772	MGC40368	hypothetical protein LOC255394
NM_152775	KM-HN-1	KM-HN-1 protein
NM_152777	C14orf48	hypothetical protein LOC256369
NM_152778	MGC33302	hypothetical protein LOC256471
NM_152780	FLJ14503	hypothetical protein LOC256714
NM_152782	SUNC1	Sad1 and UNC84 domain containing 1
NM_152786	C9orf43	hypothetical protein LOC257169
NM_152789	MGC40405	hypothetical protein LOC257415
NM_025132	WDR19	WD repeat domain 19
NM_018287	ARHGAP12	Rho GTPase activating protein 12
NM_172193	KLHDC1	kelch domain containing 1
NM_153454	C21orf86	hypothetical protein LOC257103
NM_152628	MGC39715	hypothetical protein LOC169166
NM_153453	VGLL2	vestigial-like 2 isoform 2
NM_152404	FLJ34658	hypothetical protein LOC133688
NM_152366	KARCA1	kelch/ankyrin repeat containing cyclin A1
NM_153451	ORAOV1	oral cancer overexpressed 1
NM_153450	MED19	mediator of RNA polymerase II transcription,
NM_153449	SLC2A14	glucose transporter 14
NM_152832	MTVR1	Mouse Mammary Turmor Virus Receptor homolog 1
NM_145268	LOC136263	hypothetical protein LOC136263
NM_152835	PDIK1L	PDLIM1 interacting kinase 1 like
NM_153006	NAGS	N-acetylglutamate synthase
NM_153002	GPR156	G protein-coupled receptor 156
NM_152889	CHST13	carbohydrate (chondroitin 4) sulfotransferase
NM_152892	DKFZp434K1815	hypothetical protein LOC222229
NM_000365	TPI1	triosephosphate isomerase 1
NM_152900	MAGI3	membrane-associated guanylate kinase-related  3
NM_152891	PRSS33	protease, serine, 33
NM_152901	PYDC1	pyrin domain containing 1
NM_152997	C4orf7	chromosome 4 open reading frame 7
NM_145011	ZNF25	zinc finger protein 25
NM_152860	SP7	osterix
NM_144992	MGC26733	hypothetical protein LOC200403
NM_152999	STEAP2	six transmembrane epithelial antigen of the
NM_144698	ANKRD35	ankyrin repeat domain 35
NM_144671	FLJ32356	hypothetical protein LOC144717
NM_152904	SPECC1	sperm antigen HCMOGT-1
NM_152905	NEDD1	neural precursor cell expressed, developmentally
NM_153000	APCDD1	hypothetical protein LOC147495
NM_152913	DKFZp761L1417	hypothetical protein LOC222865
NM_018590	GALNACT-2	chondroitin beta1,4
NM_152914	MGC33894	transcript expressed during hematopoiesis 2
NM_018091	ELP3	elongation protein 3 homolog
NM_153694	SYCP3	synaptonemal complex protein 3
NM_012234	RYBP	RING1 and YY1 binding protein
NM_138703	MAGEE2	melanoma antigen family E, 2
NM_005180	PCGF4	polycomb group ring finger 4
NM_020231	MDS010	x 010 protein
NM_014551	hCAP-H2	kleisin beta
NM_032804	C10orf22	hypothetical protein LOC84890
NM_152945	DRB1	developmentally regulated RNA-binding protein 1
NM_004248	GPR10	G protein-coupled receptor 10
NM_017444	CHRAC1	chromatin accessibility complex 1
NM_033516	NYD-SP25	protein kinase NYD-SP25 isoform 1
NM_032775	KLHL22	kelch-like
NM_032567	SPZ1	likely ortholog of mouse spermatogenic Zip 1
NM_030920	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32
NM_003318	TTK	TTK protein kinase
NM_152994	LOC129285	smooth muscle myosin heavy chain 11 isoform
NM_024919	FRMD1	FERM domain containing 1
NM_152996	ST6GALNAC3	ST6
NM_024897	PAQR6	progestin and adipoQ receptor family member VI
NM_025080	ASRGL1	asparaginase-like 1 protein
NM_030964	SPRY4	sprouty homolog 4
NM_024811	FLJ12529	pre-mRNA cleavage factor I, 59 kDa subunit
NM_032261	C21orf56	hypothetical protein LOC84221
NM_000341	SLC3A1	solute carrier family 3, member 1
NM_153442	GPR26	G protein-coupled receptor 26
NM_006601	PTGES3	unactive progesterone receptor, 23 kD
NM_024706	ZNF668	zinc finger protein 668
NM_018502	PRO1580	hypothetical protein LOC55374
NM_024615	PARP8	poly (ADP-ribose) polymerase family, member 8
NM_024969	TAIP-2	TGF-beta induced apotosis protein 2
NM_006165	NFRKB	nuclear factor related to kappaB binding
NM_023947	MGC3234	hypothetical protein LOC66005
NM_016470	C20orf111	oxidative stress responsive 1
NM_022836	DCLRE1B	DNA cross-link repair 1B (PSO2 homolog, S.
NM_000566	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor
NM_000824	GLRB	glycine receptor, beta
NM_000924	PDE1B	phosphodiesterase 1B, calmodulin-dependent
NM_020806	GPHN	gephyrin isoform 1
NM_001265	CDX2	caudal type homeo box transcription factor 2
NM_003414	ZNF267	zinc finger protein 267
NM_020145	SH3GLB2	SH3-containing protein SH3GLB2
NM_004697	PRPF4	PRP4 pre-mRNA processing factor 4 homolog
NM_004731	SLC16A7	solute carrier family 16, member 7
NM_018452	C6orf35	hypothetical protein LOC55836
NM_018120	ARMC1	armadillo repeat-containing protein
NM_007034	DNAJB4	DnaJ (Hsp40) homolog, subfamily B, member 4
NM_006948	STCH	stress 70 protein chaperone,
NM_018103	LRRC8D	leucine rich repeat containing 5
NM_014207	CD5	CD5 antigen (p56-62)
NM_013341	PTD004	GTP-binding protein PTD004 isoform 1
NM_018068	PIWIL2	piwi-like 2
NM_015193	ARC	activity-regulated cytoskeleton-associated
NM_018053	FLJ10307	hypothetical protein LOC55113
NM_015652	C10orf12	hypothetical protein LOC26148
NM_019067	GNL3L	guanine nucleotide binding protein-like 3
NM_024430	PSTPIP2	proline-serine-threonine phosphatase interacting
NM_017987	RUFY2	RUN and FYVE domain-containing 2
NM_170694	SERHL	serine hydrolase-like
NM_024745	SHCBP1	SHC SH2-domain binding protein 1
NM_015703	CGI-96	hypothetical protein LOC27341
NM_170699	GPBAR1	G-protein coupled bile acid receptor BG37
NM_005412	SHMT2	serine hydroxymethyltransferase 2
NM_145018	FLJ25416	hypothetical protein LOC220042
NM_033123	PLCZ1	phospholipase C, zeta 1
NM_171997	USP2	ubiquitin specific protease 2 isoform b
NM_171998	RAB39B	RAB39B, member RAS oncogene family
NM_171999	SALL3	sal-like 3
NM_002566	P2RY11	purinergic receptor P2Y11
NM_172387	NFATC1	nuclear factor of activated T-cells, cytosolic
NM_172388	NFATC1	nuclear factor of activated T-cells, cytosolic
NM_172389	NFATC1	nuclear factor of activated T-cells, cytosolic
NM_172390	NFATC1	nuclear factor of activated T-cells, cytosolic
NM_173042	IL18BP	interleukin 18 binding protein isoform A
NM_002386	MC1R	melanocortin 1 receptor
NM_020944	GBA2	bile acid beta-glucosidase
NM_173054	RELN	reelin isoform b
NM_001750	CAST	calpastatin isoform a
NM_173055	ZAN	zonadhesin isoform 1
NM_173056	ZAN	zonadhesin isoform 2
NM_173057	ZAN	zonadhesin isoform 4
NM_173058	ZAN	zonadhesin isoform 5
NM_173059	ZAN	zonadhesin isoform 6
NM_173060	CAST	calpastatin isoform b
NM_173061	CAST	calpastatin isoform c
NM_173062	CAST	calpastatin isoform d
NM_173064	IL28RA	interleukin 28 receptor, alpha isoform 2
NM_173065	IL28RA	interleukin 28 receptor, alpha isoform 3
NM_173073	SLC35C2	ovarian cancer overexpressed 1 isoform b
NM_015945	SLC35C2	ovarian cancer overexpressed 1 isoform a
NM_173074	PIGF	phosphatidylinositol glycan, class F isoform 2
NM_173075	APBB2	amyloid beta A4 precursor protein-binding,
NM_173076	ABCA12	ATP-binding cassette, sub-family A, member 12
NM_173087	CAPN3	calpain 3 isoform c
NM_173088	CAPN3	calpain 3 isoform d
NM_173089	CAPN3	calpain 3 isoform e
NM_173090	CAPN3	calpain 3 isoform e
NM_173091	NFATC2	preexisting nuclear factor of activated T-cells
NM_173092	KCNH6	potassium voltage-gated channel, subfamily H,
NM_173157	NR4A1	nuclear receptor subfamily 4, group A, member 1
NM_173158	NR4A1	nuclear receptor subfamily 4, group A, member 1
NM_173160	FXYD4	FXYD domain containing ion transport regulator
NM_005607	PTK2	PTK2 protein tyrosine kinase 2 isoform b
NM_173161	IL1F10	interleukin 1 family, member 10
NM_173163	NFATC3	cytoplasmic nuclear factor of activated T-cells
NM_173164	NFATC3	cytoplasmic nuclear factor of activated T-cells
NM_173165	NFATC3	cytoplasmic nuclear factor of activated T-cells
NM_173357	SSX6	synovial sarcoma, X breakpoint 6
NM_173358	SSX7	synovial sarcoma, X breakpoint 7
NM_021902	FXYD1	phospholemman precursor
NM_173170	IL1F5	interleukin 1 family, member 5
NM_173171	NR4A2	nuclear receptor subfamily 4, group A, member 2
NM_173172	NR4A2	nuclear receptor subfamily 4, group A, member 2
NM_173173	NR4A2	nuclear receptor subfamily 4, group A, member 2
NM_173174	PTK2B	PTK2B protein tyrosine kinase 2 beta isoform a
NM_173175	PTK2B	PTK2B protein tyrosine kinase 2 beta isoform b
NM_173176	PTK2B	PTK2B protein tyrosine kinase 2 beta isoform a
NM_006333	C1D	nuclear DNA-binding protein
NM_173177	C1D	nuclear DNA-binding protein
NM_173178	IL1F8	interleukin 1 family, member 8 isoform 2
NM_173179	SLC35C2	ovarian cancer overexpressed 1 isoform a
NM_005975	PTK6	PTK6 protein tyrosine kinase 6
NM_173191	KCNIP2	Kv channel interacting protein 2 isoform 2
NM_173192	KCNIP2	Kv channel interacting protein 2 isoform 3
NM_173193	KCNIP2	Kv channel interacting protein 2 isoform 4
NM_173194	KCNIP2	Kv channel interacting protein 2 isoform 5
NM_021603	FXYD2	FXYD domain-containing ion transport regulator 2
NM_173195	KCNIP2	Kv channel interacting protein 2 isoform 6
NM_173197	KCNIP2	Kv channel interacting protein 2 isoform 7
NM_001680	FXYD2	FXYD domain-containing ion transport regulator 2
NM_173198	NR4A3	nuclear receptor subfamily 4, group A, member 3
NM_173199	NR4A3	nuclear receptor subfamily 4, group A, member 3
NM_173200	NR4A3	nuclear receptor subfamily 4, group A, member 3
NM_014439	IL1F7	interleukin 1 family, member 7 isoform 1
NM_173202	IL1F7	interleukin 1 family, member 7 isoform 2
NM_173203	IL1F7	interleukin 1 family, member 7 isoform 3
NM_173204	IL1F7	interleukin 1 family, member 7 isoform 4
NM_173205	IL1F7	interleukin 1 family, member 7 isoform 5
NM_173207	TGIF	TG-interacting factor isoform b
NM_173208	TGIF	TG-interacting factor isoform c
NM_173209	TGIF	TG-interacting factor isoform d
NM_173210	TGIF	TG-interacting factor isoform d
NM_173211	TGIF	TG-interacting factor isoform d
NM_002821	PTK7	PTK7 protein tyrosine kinase 7 isoform a
NM_019617	GKN1	18 kDa antrum mucosa protein
NM_019618	IL1F9	interleukin 1 family, member 9
NM_138713	NFAT5	nuclear factor of activated T-cells 5 isoform b
NM_173214	NFAT5	nuclear factor of activated T-cells 5 isoform a
NM_173215	NFAT5	nuclear factor of activated T-cells 5 isoform a
NM_173216	ST6GAL1	sialyltransferase 1 isoform a
NM_173217	ST6GAL1	sialyltransferase 1 isoform b
NM_003032	ST6GAL1	sialyltransferase 1 isoform a
NM_173341	PHF7	PHD finger protein 7 isoform 2
NM_173342	KCNIP2	Kv channel interacting protein 2 isoform 8
NM_017617	NOTCH1	notch1 preproprotein
NM_004633	IL1R2	interleukin 1 receptor, type II precursor
NM_173343	IL1R2	interleukin 1 receptor, type II precursor
NM_001503	GPLD1	glycosylphosphatidylinositol specific
NM_004789	LHX2	LIM homeobox protein 2
NM_016483	PHF7	PHD finger protein 7 isoform 1
NM_173344	ST3GAL1	sialyltransferase 4A
NM_003033	ST3GAL1	sialyltransferase 4A
NM_017446	MRPL39	mitochondrial ribosomal protein L39 isoform a
NM_005556	KRT7	keratin 7
NM_173452	FCN3	ficolin 3 isoform 2 precursor
NM_003468	FZD5	frizzled 5
NM_003856	IL1RL1	interleukin 1 receptor-like 1 isoform 2
NM_173460	DEFB119	defensin, beta 119 isoform b
NM_173477	USH1G	Usher syndrome 1G protein
NM_173536	GABRG1	gamma-aminobutyric acid A receptor, gamma 1
NM_173540	FUT11	fucosyltransferase 11 (alpha (1,3)
NM_001700	AZU1	azurocidin 1 preproprotein
NM_018326	GIMAP4	GTPase, IMAP family member 4
NM_173841	IL1RN	interleukin 1 receptor antagonist isoform 2
NM_173842	IL1RN	interleukin 1 receptor antagonist isoform 1
NM_173843	IL1RN	interleukin 1 receptor antagonist isoform 4
NM_006785	MALT1	mucosa associated lymphoid tissue lymphoma
NM_173844	MALT1	mucosa associated lymphoid tissue lymphoma
NM_173849	GSC	goosecoid
NM_000586	IL2	interleukin 2 precursor
NM_174855	IDH3B	isocitrate dehydrogenase 3, beta subunit isoform
NM_174856	IDH3B	isocitrate dehydrogenase 3, beta subunit isoform
NM_006899	IDH3B	isocitrate dehydrogenase 3, beta subunit isoform
NM_174858	AK5	adenylate kinase 5 isoform 1
NM_174869	IDH3G	isocitrate dehydrogenase 3 (NAD+) gamma isoform
NM_174871	PSMD12	proteasome 26S non-ATPase subunit 12 isoform 2
NM_012226	P2RX2	purinergic receptor P2X2 isoform I
NM_174872	P2RX2	purinergic receptor P2X2 isoform H
NM_174873	P2RX2	purinergic receptor P2X2 isoform B
NM_174878	USH3A	USH3A protein isoform a
NM_174880	USH3A	USH3A protein isoform b
NM_174881	CRB3	crumbs 3 isoform b
NM_174886	TGIF	TG-interacting factor isoform d
NM_174936	PCSK9	proprotein convertase subtilisin/kexin type 9
NM_175047	PILRB	paired immunoglobulin-like type 2 receptor beta
NM_174953	ATP2A3	sarco/endoplasmic reticulum Ca2+ -ATPase isoform
NM_174954	ATP2A3	sarco/endoplasmic reticulum Ca2+ -ATPase isoform
NM_174955	ATP2A3	sarco/endoplasmic reticulum Ca2+ -ATPase isoform
NM_174956	ATP2A3	sarco/endoplasmic reticulum Ca2+ -ATPase isoform
NM_174957	ATP2A3	sarco/endoplasmic reticulum Ca2+ -ATPase isoform
NM_174958	ATP2A3	sarco/endoplasmic reticulum Ca2+ -ATPase isoform
NM_174963	ST3GAL3	sialyltransferase 6 isoform a
NM_174964	ST3GAL3	sialyltransferase 6 isoform b
NM_174965	ST3GAL3	sialyltransferase 6 isoform c
NM_174966	ST3GAL3	sialyltransferase 6 isoform d
NM_174967	ST3GAL3	sialyltransferase 6 isoform e
NM_174968	ST3GAL3	sialyltransferase 6 isoform f
NM_174969	ST3GAL3	sialyltransferase 6 isoform g
NM_174970	ST3GAL3	sialyltransferase 6 isoform h
NM_174971	ST3GAL3	sialyltransferase 6 isoform i
NM_174972	ST3GAL3	sialyltransferase 6 isoform k
NM_174975	SEC14L3	SEC14-like 3
NM_174977	SEC14L4	SEC14p-like protein TAP3
NM_175038	CNTN1	contactin 1 isoform 2 precursor
NM_175039	ST6GALNAC4	sialyltransferase 7D isoform a
NM_175040	ST6GALNAC4	sialyltransferase 7D isoform b
NM_002559	P2RX3	purinergic receptor P2X3
NM_175052	ST8SIA4	ST8 alpha-N-acetyl-neuraminide
NM_002560	P2RX4	purinergic receptor P2X4 isoform a
NM_175054	HIST4H4	histone H4
NM_175064	WBSCR19	Williams Beuren syndrome chromosome region 19
NM_175065	HIST2H2AB	histone H2A
NM_032214	SLA2	Src-like-adaptor 2 isoform a
NM_175077	SLA2	Src-like-adaptor 2 isoform b
NM_002561	P2RX5	purinergic receptor P2X5 isoform A
NM_175080	P2RX5	purinergic receptor P2X5 isoform B
NM_175081	P2RX5	purinergic receptor P2X5 isoform C
NM_175085	GART	phosphoribosylglycinamide formyltransferase,
NM_175566	CNTN5	contactin 5 isoform short
NM_016038	SBDS	Shwachman-Bodian-Diamond syndrome protein
NM_175567	P2RX4	purinergic receptor P2X4 isoform b
NM_175568	P2RX4	purinergic receptor P2X4 isoform c
NM_175571	GIMAP8	GTPase, IMAP family member 8
NM_175573	ADRM1	adhesion regulating molecule 1 precursor
NM_175607	CNTN4	contactin 4 isoform a precursor
NM_175610	TJP1	tight junction protein 1 isoform b
NM_000588	IL3	interleukin 3 precursor
NM_014570	ARFGAP3	ADP-ribosylation factor GTPase activating
NM_175611	GRIK1	glutamate receptor, ionotropic, kainate 1
NM_175612	CNTN4	contactin 4 isoform b precursor
NM_175613	CNTN4	contactin 4 isoform c precursor
NM_175629	DNMT3A	DNA cytosine methyltransferase 3 alpha isoform
NM_002183	IL3RA	interleukin 3 receptor, alpha precursor
NM_175630	DNMT3A	DNA cytosine methyltransferase 3 alpha isoform
NM_175634	RUNX1T1	acute myelogenous leukemia 1 translocation 1
NM_175635	RUNX1T1	acute myelogenous leukemia 1 translocation 1
NM_175636	RUNX1T1	acute myelogenous leukemia 1 translocation 1
NM_005635	SSX1	synovial sarcoma, X breakpoint 1
NM_175735	LYG2	lysozyme-like
NM_025133	FBXO11	F-box only protein 11 isoform 1
NM_175698	SSX2	synovial sarcoma, X breakpoint 2 isoform b
NM_004830	CRSP3	cofactor required for Sp1 transcriptional
NM_175711	SSX3	synovial sarcoma, X breakpoint 3 isoform b
NM_175719	TPO	thyroid peroxidase isoform b
NM_175720	TPO	thyroid peroxidase isoform c
NM_175721	TPO	thyroid peroxidase isoform d
NM_175722	TPO	thyroid peroxidase isoform e
NM_004268	CRSP6	cofactor required for Sp1 transcriptional
NM_175723	SSX5	synovial sarcoma, X breakpoint 5 isoform b
NM_175724	IL5RA	interleukin 5 receptor, alpha isoform 2
NM_175725	IL5RA	interleukin 5 receptor, alpha isoform 3
NM_175726	IL5RA	interleukin 5 receptor, alpha isoform 1
NM_175727	IL5RA	interleukin 5 receptor, alpha isoform 2
NM_175728	IL5RA	interleukin 5 receptor, alpha isoform 3
NM_175729	SSX4	synovial sarcoma, X breakpoint 4 isoform b
NM_024649	BBS1	Bardet-Biedl syndrome 1
NM_175742	MAGEA2	melanoma antigen family A, 2
NM_175743	MAGEA2	melanoma antigen family A, 2
NM_175055	HIST3H2BB	histone H2B
NM_175767	IL6ST	interleukin 6 signal transducer isoform 2
NM_004905	PRDX6	peroxiredoxin 6
NM_175768	GRIK2	glutamate receptor 6 isoform 2 precursor
NM_175839	SMOX	polyamine oxidase isoform 1
NM_175840	SMOX	polyamine oxidase isoform 2
NM_175841	SMOX	polyamine oxidase isoform 3
NM_175842	SMOX	polyamine oxidase isoform 4
NM_175847	PTBP1	polypyrimidine tract-binding protein 1 isoform
NM_175848	DNMT3B	DNA cytosine-5 methyltransferase 3 beta isoform
NM_175849	DNMT3B	DNA cytosine-5 methyltransferase 3 beta isoform
NM_175850	DNMT3B	DNA cytosine-5 methyltransferase 3 beta isoform
NM_175859	CTPS2	cytidine triphosphate synthase II
NM_013440	PILRB	paired immunoglobulin-like type 2 receptor beta
NM_175862	CD86	CD86 antigen isoform 1
NM_175867	DNMT3L	cytosine-5-methyltransferase 3-like protein
NM_005363	MAGEA6	melanoma antigen family A, 6
NM_175868	MAGEA6	melanoma antigen family A, 6
NM_175913	JPH2	junctophilin 2 isoform 2
NM_000634	IL8RA	interleukin 8 receptor alpha
NM_002563	P2RY1	purinergic receptor P2Y1
NM_175929	FGF14	fibroblast growth factor 14 isoform 1B
NM_175931	CBFA2T3	myeloid translocation gene-related protein 2
NM_175932	PSMD13	proteasome 26S non-ATPase subunit 13 isoform 2
NM_033445	HIST3H2A	histone H2a
NM_016082	CDK5RAP1	CDK5 regulatory subunit associated protein 1
NM_175940	DUOX1	dual oxidase 1 precursor
NM_016376	ANKFY1	ankyrin repeat and FYVE domain containing 1
NM_176071	P2RY2	purinergic receptor P2Y2
NM_176072	P2RY2	purinergic receptor P2Y2
NM_014080	DUOX2	dual oxidase 2 precursor
NM_018249	CDK5RAP2	CDK5 regulatory subunit associated protein 2
NM_018148	LINS1	lines homolog 1 isoform 1
NM_176081	DNMT2	DNA methyltransferase 2 isoform c
NM_176083	DNMT2	DNA methyltransferase 2 isoform b
NM_176085	DNMT2	DNA methyltransferase 2 isoform e
NM_176086	DNMT2	DNA methyltransferase 2 isoform f
NM_153488	MAGEA2B	melanoma antigen family A, 2B
NM_176095	CDK5RAP3	CDK5 regulatory subunit associated protein 3
NM_176096	CDK5RAP3	CDK5 regulatory subunit associated protein 3
NM_176783	PSME1	proteasome activator subunit 1 isoform 2
NM_004364	CEBPA	CCAAT/enhancer binding protein alpha
NM_176787	PIGN	phosphatidylinositol glycan, class N
NM_005194	CEBPB	CCAAT/enhancer binding protein beta
NM_006806	BTG3	B-cell translocation gene 3
NM_176792	MRPL43	mitochondrial ribosomal protein L43 isoform b
NM_032112	MRPL43	mitochondrial ribosomal protein L43 isoform a
NM_176793	MRPL43	mitochondrial ribosomal protein L43 isoform c
NM_176794	MRPL43	mitochondrial ribosomal protein L43 isoform d
NM_176796	P2RY6	pyrimidinergic receptor P2Y6
NM_176797	P2RY6	pyrimidinergic receptor P2Y6
NM_176798	P2RY6	pyrimidinergic receptor P2Y6
NM_030768	ILKAP	integrin-linked kinase-associated protein
NM_176799	ILKAP	integrin-linked kinase-associated protein
NM_176800	PRPF4B	serine/threonine-protein kinase PRP4K
NM_176801	ADD1	adducin 1 (alpha) isoform d
NM_001805	CEBPE	CCAAT/enhancer binding protein epsilon
NM_176805	MRPS11	mitochondrial ribosomal protein S11 isoform b
NM_152616	TRIM42	tripartite motif-containing 42
NM_176806	MOCS2	molybdopterin synthase small subunit MOCS2A
NM_176821	NALP10	NACHT, LRR and PYD containing protein 10
NM_176824	BBS7	Bardet-Biedl syndrome 7 protein isoform a
NM_176826	ILVBL	ilvB (bacterial acetolactate synthase)-like
NM_176863	PSME3	proteasome activator subunit 3 isoform 2
NM_176866	PPA2	inorganic pyrophosphatase 2 isoform 3
NM_176867	PPA2	inorganic pyrophosphatase 2 isoform 4
NM_176869	PPA2	inorganic pyrophosphatase 2 isoform 1
NM_176875	CCKBR	cholecystokinin B receptor
NM_176876	P2RY12	purinergic receptor P2Y12
NM_176877	INADL	InaD-like protein isoform 2
NM_176878	INADL	InaD-like protein isoform 4
NM_015455	CNOT6	CCR4-NOT transcription complex, subunit 6
NM_002088	GRIK5	glutamate receptor KA2 precursor
NM_002914	RFC2	replication factor C 2 (40kD) isoform 2
NM_006639	CYSLTR1	cysteinyl leukotriene receptor 1
NM_176894	P2RY13	purinergic receptor P2Y, G-protein coupled, 13
NM_003711	PPAP2A	phosphatidic acid phosphatase type 2A isoform 1
NM_176895	PPAP2A	phosphatidic acid phosphatase type 2A isoform 2
NM_177404	MAGEB1	melanoma antigen family B, 1
NM_019609	CPXM	metallocarboxypeptidase CPX-1 precursor
