MYO9B	NM_001130065	myosin IXB isoform 2
MBL2	NM_000242	soluble mannose-binding lectin precursor
FAM13A1	NM_014883	family with sequence similarity 13, member A1
GNLY	NM_006433	granulysin isoform NKG5
DUSP6	NM_022652	dual specificity phosphatase 6 isoform b
EPN1	NM_013333	epsin 1 isoform c
DHDDS	NM_205861	dehydrodolichyl diphosphate synthase isoform b
ERCC8	NM_000082	excision repair cross-complementing rodent
KRTAP4-5	NM_033188	keratin associated protein 4-5
ZNF346	NM_012279	zinc finger protein 346
DDX42	NM_007372	DEAD box polypeptide 42 protein
ATRNL1	NM_207303	attractin-like 1
TTC5	NM_138376	tetratricopeptide repeat domain 5
HNRNPR	NM_001102397	heterogeneous nuclear ribonucleoprotein R
TMEM32	NM_173470	transmembrane protein 32
SLC7A8	NM_012244	solute carrier family 7 (cationic amino acid
OR11A1	NM_013937	olfactory receptor, family 11, subfamily A,
BRD9	NM_001009877	bromodomain containing 9 isoform 2
UGT8	NM_003360	UDP glycosyltransferase 8 (UDP-galactose
FUCA2	NM_032020	fucosidase, alpha-L- 2, plasma
ARPC1A	NM_006409	actin related protein 2/3 complex subunit 1A
ATP6V0A4	NM_130840	ATPase, H+ transporting, lysosomal V0 subunit
B4GALNT1	NM_001478	beta-1,4-N-acetyl-galactosaminyl transferase 1
OLIG3	NM_175747	oligodendrocyte transcription factor 3
NOTCH2	NM_024408	notch 2 preproprotein
UBL4B	NM_203412	ubiquitin-like 4B
TCP1	NM_030752	T-complex protein 1 isoform a
UBE2V1	NM_022442	ubiquitin-conjugating enzyme E2 variant 1
SPTY2D1	NM_194285	SPT2, Suppressor of Ty, domain containing 1
C6orf98	NM_001099267	hypothetical protein LOC387079
FAM155A	NM_001080396	hypothetical protein LOC728215
OR2AE1	NM_001005276	olfactory receptor, family 2, subfamily AE,
SBF1	NM_002972	SET binding factor 1 isoform a
ST7L	NM_138729	suppression of tumorigenicity 7-like isoform 4
CHCHD3	NM_017812	coiled-coil-helix-coiled-coil-helix domain
UNC119	NM_054035	unc119 (C.elegans) homolog isoform b
U2AF1	NM_001025204	U2 small nuclear RNA auxillary factor 1 isoform
ITGB4	NM_001005619	integrin beta 4 isoform 2 precursor
PTPRCAP	NM_005608	protein tyrosine phosphatase, receptor type,
TRIM7	NM_203295	tripartite motif-containing 7 isoform 3
EFHC2	NM_025184	EF-hand domain (C-terminal) containing 2
OR5T3	NM_001004747	olfactory receptor, family 5, subfamily T,
PCBP1	NM_006196	poly(rC) binding protein 1
ZKSCAN1	NM_003439	zinc finger protein 36
FOXG1	NM_005249	forkhead box G1
BEX2	NM_032621	brain expressed X-linked 2
BIVM	NM_017693	basic, immunoglobulin-like variable motif
POLM	NM_013284	polymerase (DNA directed), mu
KCNG3	NM_133329	potassium voltage-gated channel, subfamily G,
NR0B2	NM_021969	short heterodimer partner
MTMR10	NM_017762	myotubularin related protein 10
GNGT2	NM_031498	guanine nucleotide binding protein-gamma
DYRK1B	NM_006483	dual-specificity tyrosine-(Y)-phosphorylation
OR5AC2	NM_054106	olfactory receptor, family 5, subfamily AC,
RDH10	NM_172037	retinol dehydrogenase 10
OR51S1	NM_001004758	olfactory receptor, family 51, subfamily S,
ZNF174	NM_003450	zinc finger protein 174 isoform a
ZNF292	NM_015021	zinc finger protein 292
OPTC	NM_014359	opticin precursor
OR5AS1	NM_001001921	olfactory receptor, family 5, subfamily AS,
MPRIP	NM_201274	myosin phosphatase-Rho interacting protein
PPAP2A	NM_176895	phosphatidic acid phosphatase type 2A isoform 2
KCNMA1	NM_001014797	large conductance calcium-activated potassium
LY6G6D	NM_021246	lymphocyte antigen 6 complex G6D
PCDHAC2	NM_018899	protocadherin alpha subfamily C, 2 isoform 1
EP400	NM_015409	E1A binding protein p400
KRTAP26-1	NM_203405	keratin associated protein 26-1
SAA1	NM_199161	serum amyloid A1 preproprotein
RAD51C	NM_058216	RAD51 homolog C isoform 1
CCDC96	NM_153376	coiled-coil domain containing 96
ATP1B1	NM_001001787	Na+/K+ -ATPase beta 1 subunit isoform b
CFC1B	NM_001079530	cripto, FRL-1, cryptic family 1B
C10orf18	NM_017782	hypothetical protein LOC54906
C6orf145	NM_183373	hypothetical protein LOC221749
PPP2R5C	NM_002719	gamma isoform of regulatory subunit B56, protein
KCNK18	NM_181840	potassium channel, subfamily K, member 18
TMEM81	NM_203376	transmembrane protein 81
PLEKHM2	NM_015164	pleckstrin homology domain containing, family M
DTNBP1	NM_183041	dystrobrevin binding protein 1 isoform c
PRSS33	NM_152891	protease, serine, 33
TNFRSF8	NM_001243	tumor necrosis factor receptor superfamily,
C16orf13	NM_001040161	hypothetical protein LOC84326 isoform c
SYS1	NM_033542	SYS1 Golgi-localized integral membrane protein
HFM1	NM_001017975	HFM1 protein
TLE6	NM_024760	transducin-like enhancer of split 6 (E(sp1)
SEPT6	NM_145799	septin 6 isoform A
CTNND1	NM_001331	catenin, delta 1 isoform 1B
PSG11	NM_002785	pregnancy specific beta-1-glycoprotein 11
FLJ42957	NM_207436	hypothetical protein LOC400077
CPSF3	NM_016207	cleavage and polyadenylation specific factor 3,
TRPM6	NM_017662	transient receptor potential cation channel,
ASXL3	NM_030632	additional sex combs like 3
RBM35B	NM_024939	RNA binding motif protein 35B
H2AFB2	NM_001017991	H2A histone family, member B2
PSD	NM_002779	pleckstrin and Sec7 domain containing
PLEKHA7	NM_175058	pleckstrin homology domain containing, family A
UBE2K	NM_001111113	ubiquitin-conjugating enzyme E2-25K isoform 3
MAP3K7	NM_003188	mitogen-activated protein kinase kinase kinase 7
MGC50273	NM_214461	hypothetical protein LOC408029
CYP2C18	NM_000772	cytochrome P450 family 2 subfamily C polypeptide
SC5DL	NM_006918	sterol-C5-desaturase
MED10	NM_032286	mediator complex subunit 10
PROX2	NM_001080408	prospero homeobox 2
TSHZ3	NM_020856	zinc finger protein 537
B4GALT5	NM_004776	UDP-Gal:betaGlcNAc beta 1,4-
HSPBP1	NM_012267	hsp70-interacting protein
RABGGTA	NM_182836	Rab geranylgeranyltransferase, alpha subunit
MEGF8	NM_001410	multiple EGF-like-domains 8
ARID4A	NM_023001	retinoblastoma-binding protein 1 isoform III
SUMO2	NM_001005849	SMT3 suppressor of mif two 3 homolog 2 isoform b
GOLPH3L	NM_018178	GPP34-related protein
MYOC	NM_000261	myocilin
POLE4	NM_019896	DNA polymerase epsilon subunit 4
OR10G2	NM_001005466	olfactory receptor, family 10, subfamily G,
OPRS1	NM_147157	opioid receptor, sigma 1 isoform 2
SPATA1	NM_001081472	spermatogenesis associated 1
ALPP	NM_001632	placental alkaline phosphatase preproprotein
LIPN	NM_001102469	lipase-like, ab-hydrolase domain containing 4
EID1	NM_014335	CREBBP/EP300 inhibitor 1
PTBP1	NM_031990	polypyrimidine tract-binding protein 1 isoform
MYL4	NM_001002841	atrial/embryonic alkali myosin light chain
KLKB1	NM_000892	plasma kallikrein B1 precursor
SH3GL3	NM_003027	SH3-domain GRB2-like 3
CCR2	NM_000648	chemokine (C-C motif) receptor 2 isoform B
C17orf53	NM_024032	hypothetical protein LOC78995
HOXD8	NM_019558	homeobox D8
PKD1	NM_001009944	polycystin 1 isoform 1 precursor
ProSAPiP1	NM_014731	ProSAPiP1 protein
SSR1	NM_003144	signal sequence receptor, alpha
ZNF827	NM_178835	zinc finger protein 827
BMF	NM_001003942	Bcl2 modifying factor isoform bmf-2
AMPH	NM_139316	amphiphysin isoform 2
CAPG	NM_001747	gelsolin-like capping protein
SIPA1L1	NM_015556	signal-induced proliferation-associated 1 like
WDR31	NM_001012361	WD repeat domain 31 isoform 1
PAQR6	NM_024897	progestin and adipoQ receptor family member VI
SBF2	NM_030962	SET binding factor 2
SERPINI2	NM_006217	serpin peptidase inhibitor, clade I (pancpin),
UNC5CL	NM_173561	unc-5 homolog C-like
TMCO2	NM_001008740	transmembrane and coiled-coil domains 2
ZNF524	NM_153219	zinc finger protein 524
ZNF492	NM_020855	zinc finger protein 492
STARD8	NM_014725	StAR-related lipid transfer (START) domain
COL4A3BP	NM_031361	alpha 3 type IV collagen binding protein isoform
MCCC2	NM_022132	methylcrotonoyl-Coenzyme A carboxylase 2 (beta)
ARHGEF7	NM_003899	PAK-interacting exchange factor beta isoform a
EIF4B	NM_001417	eukaryotic translation initiation factor 4B
ATP9A	NM_006045	ATPase, class II, type 9A
KIF21A	NM_017641	kinesin family member 21A
SCN1B	NM_001037	sodium channel, voltage-gated, type I, beta
TEAD1	NM_021961	TEA domain family member 1
EIF4H	NM_031992	eukaryotic translation initiation factor 4H
SF3B14	NM_016047	splicing factor 3B, 14 kDa subunit
KATNAL2	NM_031303	katanin p60 subunit A-like 2
CORO2A	NM_052820	coronin, actin binding protein, 2A
STAB1	NM_015136	stabilin 1 precursor
PFN1	NM_005022	profilin 1
CRYBA2	NM_057094	crystallin, beta A2
PDCD2	NM_002598	programmed cell death 2 isoform 1
CPNE2	NM_152727	copine II
STEAP4	NM_024636	tumor necrosis factor, alpha-induced protein 9
KIAA1033	NM_015275	hypothetical protein LOC23325
PSMG1	NM_203433	Down syndrome critical region protein 2 isoform
MDM2	NM_002392	mouse double minute 2 homolog isoform MDM2
KLK3	NM_001030049	prostate specific antigen isoform 5
GRIN2B	NM_000834	N-methyl-D-aspartate receptor subunit 2B
PSMG3	NM_032302	proteasome assembling chaperone 3
LIMK1	NM_002314	LIM domain kinase 1
KLK11	NM_006853	kallikrein 11 isoform 1 preproprotein
BCAP29	NM_001008407	B-cell receptor-associated protein BAP29 isoform
ARMC4	NM_018076	armadillo repeat containing 4
PNOC	NM_006228	prepronociceptin
TUBA8	NM_018943	tubulin, alpha 8
C22orf9	NM_001009880	hypothetical protein LOC23313 isoform b
C1QTNF6	NM_031910	C1q and tumor necrosis factor related protein 6
ATG4D	NM_032885	APG4 autophagy 4 homolog D
EPHB2	NM_017449	ephrin receptor EphB2 isoform 1 precursor
ABHD6	NM_020676	abhydrolase domain containing 6
AFAP1L2	NM_001001936	KIAA1914 protein isoform 1
SNRPD2	NM_177542	small nuclear ribonucleoprotein polypeptide D2
ZNF509	NM_145291	zinc finger protein 509
FAM36A	NM_198076	hypothetical protein LOC116228
KIAA1632	NM_020964	hypothetical protein LOC57724
PLAT	NM_033011	plasminogen activator, tissue type isoform 3
SLCO5A1	NM_030958	solute carrier organic anion transporter family,
C5	NM_001735	complement component 5 preproprotein
RSPH3	NM_031924	radial spoke 3 homolog
MYOZ1	NM_021245	myozenin 1
CCDC7	NM_001026383	coiled-coil domain containing 7
RBBP8	NM_203291	retinoblastoma binding protein 8 isoform a
CDY1	NM_170723	Y chromosome chromodomain protein 1, telomeric
HPS5	NM_181508	Hermansky-Pudlak syndrome 5 isoform b
ARMCX2	NM_177949	ALEX2 protein
PWWP2B	NM_138499	PWWP domain containing 2 isoform 1
ZNF775	NM_173680	zinc finger protein 775
GMPS	NM_003875	guanine monophosphate synthetase
SMS	NM_004595	spermine synthase
MTRF1L	NM_019041	mitochondrial translational release factor
SERPINB8	NM_002640	serine (or cysteine) proteinase inhibitor, clade
LMO3	NM_018640	LIM domain only 3
GPR68	NM_003485	G protein-coupled receptor 68
CD274	NM_014143	CD274 molecule
SNTB1	NM_021021	basic beta 1 syntrophin
FAM177A1	NM_001079519	hypothetical protein LOC283635 isoform 2
GSTM2	NM_000848	glutathione S-transferase M2
MGC119295	NM_001031618	hypothetical protein LOC441273
FAM22A	NM_001099338	hypothetical protein LOC728118
SLC26A6	NM_134263	solute carrier family 26, member 6 isoform 2
ARID4B	NM_031371	AT rich interactive domain 4B isoform 2
C1R	NM_001733	complement component 1, r subcomponent
OCLN	NM_002538	occludin
IL17D	NM_138284	interleukin 17D precursor
RHD	NM_016124	Rh blood group D antigen isoform 1
ZNF503	NM_032772	zinc finger protein 503
LAPTM4B	NM_018407	lysosomal associated transmembrane protein 4
SEMA4G	NM_017893	semaphorin 4G
C10orf107	NM_173554	hypothetical protein LOC219621
CFHR3	NM_021023	complement factor H-related 3
SELL	NM_000655	selectin L precursor
PCDHB12	NM_018932	protocadherin beta 12 precursor
ISLR2	NM_020851	immunoglobulin superfamily containing
CCDC14	NM_022757	coiled-coil domain containing 14
RNF135	NM_032322	ring finger protein 135 isoform 1
C20orf177	NM_022106	hypothetical protein LOC63939
PRR19	NM_199285	proline rich 19
CCDC102A	NM_033212	coiled-coil domain containing 102A
MRGPRF	NM_145015	MAS-related GPR, member F
ARNT2	NM_014862	aryl hydrocarbon receptor nuclear translocator
VPS13B	NM_015243	vacuolar protein sorting 13B isoform 3
OR4A15	NM_001005275	olfactory receptor, family 4, subfamily A,
WRB	NM_004627	tryptophan rich basic protein
NUP188	NM_015354	nucleoporin 188kDa
TNFRSF18	NM_148901	tumor necrosis factor receptor superfamily,
FJX1	NM_014344	four jointed box 1
CD163L1	NM_174941	scavenger receptor cysteine-rich type 1
ZW10	NM_004724	centromere/kinetochore protein zw10
EXO1	NM_003686	exonuclease 1 isoform a
PTPRJ	NM_002843	protein tyrosine phosphatase, receptor type, J
MYH13	NM_003802	myosin, heavy polypeptide 13, skeletal muscle
FBXO47	NM_001008777	F-box protein 47
ARHGEF2	NM_004723	rho/rac guanine nucleotide exchange factor 2
GPR126	NM_001032394	G protein-coupled receptor 126 alpha 2
OR1B1	NM_001004450	olfactory receptor, family 1, subfamily B,
CBLN3	NM_001039771	cerebellin 3 precursor
PLEC1	NM_201378	plectin 1 isoform 2
ABCC4	NM_005845	ATP-binding cassette, sub-family C, member 4
RP11-529I10.4	NM_015448	DPCD protein
UBE2NL	NM_001012989	ubiquitin-conjugating enzyme E2N-like
TNFAIP6	NM_007115	tumor necrosis factor, alpha-induced protein 6
C16orf55	NM_153025	hypothetical protein LOC124045
OR6Y1	NM_001005189	olfactory receptor, family 6, subfamily Y,
NUDT8	NM_181843	nudix-type motif 8
FGL2	NM_006682	fibrinogen-like 2 precursor
PPIAL4	NM_178230	peptidylprolyl isomerase A (cyclophilin A)-like
ODF2L	NM_001007022	outer dense fiber of sperm tails 2-like isoform
DNAJB3	NM_001001394	DnaJ (Hsp40) homolog, subfamily B, member 3
OR11H1	NM_001005239	olfactory receptor, family 11, subfamily H,
MKL2	NM_014048	megakaryoblastic leukemia 2 protein
NFKBIZ	NM_001005474	nuclear factor of kappa light polypeptide gene
TRIM36	NM_018700	tripartite motif-containing 36 isoform 1
SCG3	NM_013243	secretogranin III
TAF5	NM_006951	TBP-associated factor 5
PXMP2	NM_018663	peroxisomal membrane protein 2, 22kDa
KLK12	NM_145895	kallikrein 12 isoform 3
C1orf26	NM_017673	hypothetical protein LOC54823
CNOT6	NM_015455	CCR4-NOT transcription complex, subunit 6
ACTRT2	NM_080431	actin-related protein M2
MRVI1	NM_130385	JAW1-related protein isoform b
SORD	NM_003104	sorbitol dehydrogenase
CSRP2	NM_001321	cysteine and glycine-rich protein 2
C1orf187	NM_198545	chromosome 1 open reading frame 187
NUP133	NM_018230	nucleoporin 133kDa
DNAJC9	NM_015190	DnaJ homolog, subfamily C, member 9
NXF2B	NM_001099686	nuclear RNA export factor 2B
ATP2A2	NM_001681	ATPase, Ca++ transporting, cardiac muscle, slow
RNF157	NM_052916	ring finger protein 157
CHCHD7	NM_001011668	coiled-coil-helix-coiled-coil-helix domain
EFCAB4B	NM_032680	EF-hand calcium binding domain 4B
IL13RA2	NM_000640	interleukin 13 receptor, alpha 2 precursor
CDC2L2	NM_024011	cell division cycle 2-like 2 isoform 1
LOC728635	NM_001082488	similar to peroxisomal short-chain alcohol
OR56A1	NM_001001917	olfactory receptor, family 56, subfamily A,
RANBP10	NM_020850	RAN binding protein 10
C9orf153	NM_001010907	hypothetical protein LOC389766
PWWP2B	NM_001098637	PWWP domain containing 2 isoform 2
CACNB1	NM_199247	calcium channel, voltage-dependent, beta 1
CSNK1G3	NM_004384	casein kinase 1, gamma 3 isoform 1
PRSS23	NM_007173	protease, serine, 23 precursor
PPA2	NM_176866	inorganic pyrophosphatase 2 isoform 3 precursor
COX17	NM_005694	COX17 homolog, cytochrome c oxidase assembly
REXO1	NM_020695	transcription elongation factor B polypeptide 3
CCDC153	NM_001033658	coiled-coil domain containing 153
ZNF225	NM_013362	zinc finger protein 225
STRA13	NM_144998	stimulated by retinoic acid 13
SAMD4B	NM_018028	sterile alpha motif domain containing 4B
SLC4A1AP	NM_018158	solute carrier family 4 (anion exchanger),
MADD	NM_130474	MAP-kinase activating death domain-containing
FAM64A	NM_019013	hypothetical protein LOC54478
VIM	NM_003380	vimentin
SFT2D3	NM_032740	SFT2 domain containing 3
DUSP10	NM_007207	dual specificity phosphatase 10 isoform a
FKBPL	NM_022110	WAF-1/CIP1 stabilizing protein 39
EPB41L2	NM_001431	erythrocyte membrane protein band 4.1-like 2
NOL7	NM_016167	nucleolar protein 7, 27kDa
HIGD1B	NM_016438	HIG1 domain family, member 1B
CCDC68	NM_025214	coiled-coil domain containing 68
C1orf156	NM_033418	hypothetical protein MGC9084
RELL1	NM_001085399	receptor expressed in lymphoid tissues like 1
SRM	NM_003132	spermidine synthase
Gcom1	NM_001018100	GRINL1A upstream protein isoform 7
FUK	NM_145059	fucokinase
DHX36	NM_001114397	DEAH (Asp-Glu-Ala-His) box polypeptide 36
ARPC4	NM_005718	actin related protein 2/3 complex subunit 4
DAK	NM_015533	dihydroxyacetone kinase 2
CNNM2	NM_199076	cyclin M2 isoform 2
ACBD4	NM_024722	acyl-Coenzyme A binding domain containing 4
OR51B6	NM_001004750	olfactory receptor, family 51, subfamily B,
USO1	NM_003715	USO1 homolog, vesicle docking protein
ELMOD2	NM_153702	ELMO/CED-12 domain containing 2
HSPB7	NM_014424	cardiovascular heat shock protein
ZNF646	NM_014699	zinc finger protein 646
C10orf128	NM_001010863	hypothetical protein LOC170371
NRXN3	NM_138970	neurexin 3 isoform 2 precursor
VAMP1	NM_014231	vesicle-associated membrane protein 1 isoform 1
C4BPB	NM_000716	complement component 4 binding protein, beta
HS3ST2	NM_006043	heparan sulfate D-glucosaminyl
RGMB	NM_173670	RGM domain family, member B isoform 2 precursor
FAM118B	NM_024556	hypothetical protein LOC79607
C12orf67	NM_144667	hypothetical protein LOC144360
NCOR1	NM_006311	nuclear receptor co-repressor 1
C19orf53	NM_014047	Leydig cell tumor 10 kDa protein
KIAA1804	NM_032435	mixed lineage kinase 4
P4HA2	NM_001017974	prolyl 4-hydroxylase, alpha II subunit isoform 2
MBIP	NM_016586	MAP3K12 binding inhibitory protein 1
GOLGB1	NM_004487	golgi autoantigen, golgin subfamily b,
SPECC1	NM_152904	spectrin domain with coiled-coils 1 NSP5b3a
EPB41L1	NM_012156	erythrocyte membrane protein band 4.1-like 1
SLC15A2	NM_021082	solute carrier family 15 (H+/peptide
CDC42EP4	NM_012121	Cdc42 effector protein 4
TNFSF9	NM_003811	tumor necrosis factor (ligand) superfamily,
CCDC123	NM_032816	coiled-coil domain containing 123
ARPC2	NM_005731	actin related protein 2/3 complex subunit 2
KCNK4	NM_033310	TRAAK
CCR8	NM_005201	chemokine (C-C motif) receptor 8
PEX16	NM_004813	peroxisomal biogenesis factor 16 isoform 1
FGF12	NM_021032	fibroblast growth factor 12 isoform 1
C1orf26	NM_001105518	hypothetical protein LOC54823
UNC84B	NM_015374	unc-84 homolog B
SSPO	NM_198455	SCO-spondin
MIER1	NM_001077702	mesoderm induction early response 1 isoform
PRKAR2A	NM_004157	cAMP-dependent protein kinase, regulatory
PCDHB16	NM_020957	protocadherin beta 16 precursor
SFRS17A	NM_005088	DNA segment on chromosome X and Y (unique) 155
SH3BGR	NM_007341	SH3-binding domain and glutamic acid-rich
RAB13	NM_002870	RAB13, member RAS oncogene family
NPVF	NM_022150	neuropeptide VF precursor
UBE2E3	NM_182678	ubiquitin-conjugating enzyme E2E 3
PRAMEF14	NM_001099854	PRAME family member 14
COPE	NM_199444	epsilon subunit of coatomer protein complex
C2orf76	NM_001017927	hypothetical protein LOC130355
SERP1	NM_014445	stress-associated endoplasmic reticulum protein
GNAS	NM_080425	GNAS complex locus isoform c
CHCHD7	NM_001011671	coiled-coil-helix-coiled-coil-helix domain
CNGA3	NM_001298	cyclic nucleotide gated channel alpha 3 isoform
KITLG	NM_000899	KIT ligand isoform b precursor
CAPZB	NM_004930	F-actin capping protein beta subunit
TSPAN2	NM_005725	tetraspan 2
GPR137C	NM_001099652	G protein-coupled receptor 137C
SPRR2F	NM_001014450	small proline-rich protein 2F
H3F3A	NM_002107	H3 histone, family 3A
PTDSS1	NM_014754	phosphatidylserine synthase 1
GEMIN5	NM_015465	gemin 5
MAGEB1	NM_177415	melanoma antigen family B, 1
ST8SIA2	NM_006011	ST8 alpha-N-acetyl-neuraminide
IER2	NM_004907	immediate early response 2
LGI2	NM_018176	leucine-rich repeat LGI family, member 2
LOC441108	NM_001013717	hypothetical protein LOC441108
GPRIN2	NM_014696	G protein-regulated inducer of neurite outgrowth
CATSPER4	NM_198137	cation channel, sperm associated 4
GOSR1	NM_001007024	golgi SNAP receptor complex member 1 isoform 3
CCDC53	NM_016053	coiled-coil domain containing 53
GPR109A	NM_177551	G protein-coupled receptor 109A
BCL11A	NM_138559	B-cell CLL/lymphoma 11A isoform 3
NUCB1	NM_006184	nucleobindin 1
BIN1	NM_139349	bridging integrator 1 isoform 7
OCA2	NM_000275	oculocutaneous albinism II
OR5B3	NM_001005469	olfactory receptor, family 5, subfamily B,
BEX4	NM_001080425	BEX family member 4
TMTC4	NM_032813	transmembrane and tetratricopeptide repeat
CHAD	NM_001267	chondroadherin precursor
ELK1	NM_001114123	ELK1 protein
TTC18	NM_145170	tetratricopeptide repeat domain 18
USP47	NM_017944	ubiquitin specific protease 47
DYSF	NM_003494	dysferlin
GANAB	NM_198335	alpha glucosidase II alpha subunit isoform 3
SOX17	NM_022454	SRY-box 17
CARD14	NM_052819	caspase recruitment domain protein 14 isoform 2
IGFN1	NM_178275	immunoglobulin-like and fibronectin type III
C2orf34	NM_024766	hypothetical protein LOC79823
CABP1	NM_031205	calcium binding protein 1 isoform 1
LOC57228	NM_001033873	small trans-membrane and glycosylated protein
SIX5	NM_175875	sine oculis homeobox homolog 5
SAMD7	NM_182610	sterile alpha motif domain containing 7
C8orf46	NM_152765	hypothetical protein LOC254778
CASP8AP2	NM_012115	CASP8 associated protein 2
RGS17	NM_012419	regulator of G-protein signalling 17
ELA3B	NM_007352	elastase 3B preproprotein
MGAT2	NM_002408	mannosyl (alpha-1,6-)-glycoprotein
ABCA5	NM_172232	ATP-binding cassette, sub-family A , member 5
FGF6	NM_020996	fibroblast growth factor 6 precursor
G6PC2	NM_021176	islet-specific glucose-6-phosphatase-related
NR2C1	NM_003297	nuclear receptor subfamily 2, group C, member 1
EIF4G3	NM_003760	eukaryotic translation initiation factor 4
CDH20	NM_031891	cadherin 20, type 2 preproprotein
PAX5	NM_016734	paired box 5
HIPK1	NM_198269	homeodomain-interacting protein kinase 1 isoform
GNAZ	NM_002073	guanine nucleotide binding protein, alpha z
ABCF3	NM_018358	ATP-binding cassette, sub-family F (GCN20),
KCNK10	NM_021161	potassium channel, subfamily K, member 10
PRMT6	NM_018137	protein arginine methyltransferase 6
BAG2	NM_004282	BCL2-associated athanogene 2
ABCA5	NM_018672	ATP-binding cassette, sub-family A , member 5
HBQ1	NM_005331	theta 1 globin
CREM	NM_183060	cAMP responsive element modulator isoform v
AIDA	NM_022831	axin interactor, dorsalization associated
PPAP2C	NM_003712	phosphatidic acid phosphatase type 2C isoform 1
B3GNT5	NM_032047	UDP-GlcNAc:betaGal
C3AR1	NM_004054	complement component 3a receptor 1
REG3A	NM_138938	pancreatitis-associated protein precursor
DMD	NM_004015	dystrophin Dp71 isoform
NHEDC1	NM_001100874	Na+/H+ exchanger domain containing 1 isoform 2
TFR2	NM_003227	transferrin receptor 2
SMAP2	NM_022733	stromal membrane-associated GTPase-activating
SYT4	NM_020783	synaptotagmin IV
SLC6A5	NM_004211	solute carrier family 6 (neurotransmitter
SPINT1	NM_003710	serine peptidase inhibitor, Kunitz type 1
PNMA5	NM_001103151	paraneoplastic antigen like 5
PTPRF	NM_130440	protein tyrosine phosphatase, receptor type, F
XPNPEP3	NM_022098	X-prolyl aminopeptidase (aminopeptidase P) 3,
DHX15	NM_001358	DEAH (Asp-Glu-Ala-His) box polypeptide 15
ATP6V1E1	NM_001039366	vacuolar H+ ATPase E1 isoform b
NRN1	NM_016588	neuritin precursor
LRRC4	NM_022143	leucine rich repeat containing 4
OTUD3	NM_015207	OTU domain containing 3
FCGR2B	NM_001002274	Fc fragment of IgG, low affinity IIb, receptor
FAM131B	NM_001031690	hypothetical protein LOC9715 isoform a
EYA4	NM_172105	eyes absent 4 isoform d
FANCI	NM_018193	Fanconi anemia, complementation group I isoform
FPGT	NM_003838	fucose-1-phosphate guanyltransferase
UBE2D4	NM_015983	ubiquitin-conjugating enzyme E2D 4 (putative)
NDUFV3	NM_021075	NADH-ubiquinone oxidoreductase flavoprotein 3
NR1I3	NM_001077469	constitutive androstane receptor isoform 6
GNAS	NM_001077489	GNAS complex locus isoform g
AMT	NM_000481	aminomethyltransferase
PRKCB1	NM_002738	protein kinase C, beta isoform 2
G6PD	NM_001042351	glucose-6-phosphate dehydrogenase isoform b
CEACAM1	NM_001024912	carcinoembryonic antigen-related cell adhesion
C20orf103	NM_012261	chromosome 20 open reading frame 103 precursor
KIAA0841	NM_015302	hypothetical protein LOC23354
C14orf100	NM_001098625	JNK1-associated membrane protein isoform 2
CCDC40	NM_017950	coiled-coil domain containing 40
ANP32C	NM_012403	acidic nuclear phosphoprotein 32C
ETFA	NM_000126	electron transfer flavoprotein, alpha
TEX2	NM_018469	testis expressed sequence 2
AKR7A2	NM_003689	aldo-keto reductase family 7, member A2
ZNF219	NM_001102454	zinc finger protein 219
NIPSNAP1	NM_003634	nipsnap homolog 1
PLEKHB1	NM_001130035	pleckstrin homology domain containing, family B
MED31	NM_016060	mediator of RNA polymerase II transcription,
ADORA1	NM_001048230	adenosine A1 receptor
PJA1	NM_022368	praja 1 isoform c
IFI35	NM_005533	interferon-induced protein 35
CCDC144B	NM_182568	coiled-coil domain containing 144B
GNB2	NM_005273	guanine nucleotide-binding protein, beta-2
ANTXR1	NM_032208	tumor endothelial marker 8 isoform 1 precursor
KANK4	NM_181712	ankyrin repeat domain 38
PNKD	NM_022572	myofibrillogenesis regulator 1 isoform 2
RPGRIP1	NM_020366	retinitis pigmentosa GTPase regulator
CD8B	NM_004931	CD8b antigen isoform 5 precursor
CSMD1	NM_033225	CUB and Sushi multiple domains 1
CD1E	NM_030893	CD1E antigen isoform a precursor
RIN1	NM_004292	ras inhibitor RIN1
CSNK2B	NM_001320	casein kinase 2, beta polypeptide
STXBP2	NM_006949	syntaxin binding protein 2 isoform a
ZNRF1	NM_032268	zinc and ring finger protein 1
KLHL13	NM_033495	kelch-like 13
PDE4DIP	NM_001002812	phosphodiesterase 4D interacting protein isoform
FLJ25404	NM_001109659	hypothetical protein LOC146378 isoform 1
ICA1L	NM_138468	islet cell autoantigen 1,69kDa-like isoform 1
FXYD7	NM_022006	FXYD domain-containing ion transport regulator
IL2RG	NM_000206	interleukin 2 receptor, gamma precursor
ZFP28	NM_020828	zinc finger protein 28
SEC61A1	NM_013336	Sec61 alpha 1 subunit
ZNF294	NM_015565	zinc finger protein 294
DTNB	NM_183361	dystrobrevin, beta isoform 5
CREB3	NM_006368	cAMP responsive element binding protein 3
CLP1	NM_006831	ATP/GTP-binding protein
SERPINA4	NM_006215	serine (or cysteine) proteinase inhibitor, clade
GSTA3	NM_000847	glutathione S-transferase A3
KRTAP8-1	NM_175857	keratin associated protein 8-1
EXTL2	NM_001033025	multiple exostoses-like 2
PNO1	NM_020143	partner of NOB1
BPIL3	NM_174897	bactericidal/permeability-increasing
